app_num,main_IPC,IPC,pub_date,pub_num,app_date,priority,Int_filing,Int_pub,entry_date,initial_app_num,tech_div,IPCcount,SingleIPC,IPCcount_unique,total_applicant,collaboration_applicant,type1_company,type2_university,type3_individual,total_inventers,collaboration_inventer,if_agency,total_agents,app_year,total_claims,paid_claims,patent_status_n,nation_province_code_2,Chinese,priority_d,divisional_app,substantive_review,app_withdraw,reject,recover,decision_made,grant,waive,terminate,pub_date_c,grant_c,reject_c,subrev_withdraw_dur,app_withdraw_c,pub_grant_dur,pub_reject_dur,substantive_review_c,event,event_date,start_end_dur,age_at_subreview,age_at_event
CN00118464.4,A23G9/08,A23G9/08;F25B21/02,2002.01.09,CN1329838A,2000-06-30,NA,NA,NA,NA,0,0.5,2,0,2,1,0,1,0,0,1,0,1,1,2000,8,0,2,81,1,0,0,2003-07-30,2005-04-20,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,20.71232877,2005-04-20,NA,NA,2003-07-30,1,2005-04-20,20.71232877,36.98630137,57.69863014
CN01108608.4,A47B96/20,A47B96/20;B44C1/00,2002.01.09,CN1329864A,2001-07-09,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,0,0,2001,2,0,2,51,1,0,0,2002-01-16,NA,2005-02-09,NA,NA,NA,NA,NA,2002-01-09,NA,2005-02-09,NA,NA,NA,37.05205479,2002-01-16,2,2005-02-09,36.82191781,6.279452055,43.10136986
CN01122997.7,A24B3/14,A24B3/14,2002.01.09,CN1329855A,2001-07-31,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,5,1,1,1,2001,5,0,2,13,1,0,0,2004-03-03,2005-06-15,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,15.41917808,2005-06-15,NA,NA,2004-03-03,1,2005-06-15,15.41917808,31.10136986,46.52054795
CN01127694.0,A01G1/04,A01G1/04,2002.01.09,CN1329816A,2001-08-03,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,1,0,1,1,2001,5,0,2,44,1,0,0,2001-11-28,2004-06-02,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,30.14794521,2004-06-02,NA,NA,2001-11-28,1,2004-06-02,30.14794521,3.846575342,33.99452055
CN00113529.5,A61K35/78,A61K35/78;A61P17/16,2002.01.16,CN1330939A,2000-07-05,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2000,1,0,2,43,1,0,0,2003-01-01,2004-10-20,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,21.63287671,2004-10-20,NA,NA,2003-01-01,1,2004-10-20,21.63287671,29.91780822,51.55068493
CN00118448.2,A63B67/04,A63B67/04;A63B71/06,2002.01.09,CN1329930A,2000-06-23,NA,NA,NA,NA,0,0,2,0,1,1,0,0,0,1,1,0,0,0,2000,6,0,2,22,1,0,0,2001-05-23,2004-07-14,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,37.74246575,2004-07-14,NA,NA,2001-05-23,1,2004-07-14,37.74246575,10.98082192,48.72328767
CN02111187.1,A01N25/08,A01N25/08;C03C12/00;C02F1/50,2002.10.16,CN1373998A,2002-03-28,NA,NA,NA,NA,0,0.666666667,3,0,3,1,0,1,0,0,6,1,1,1,2002,9,0,2,31,1,0,0,2002-07-17,2004-10-06,NA,NA,NA,NA,NA,NA,2002-10-16,NA,NA,26.69589041,2004-10-06,NA,NA,2002-07-17,1,2004-10-06,26.69589041,3.649315068,30.34520548
CN02106846.1,A61K31/16,A61K31/16;A61P17/00;C07C233/18,2002.10.16,CN1374078A,2002-03-06,2001.03.06 JP 61695/2001,NA,NA,NA,0,0.666666667,3,0,3,1,0,1,0,0,6,1,1,1,2002,14,1,1,JP,0,1,0,2004-04-28,NA,NA,NA,NA,2008-03-05,NA,NA,2002-10-16,2008-03-05,NA,NA,NA,64.66849315,NA,2004-04-28,3,2008-03-05,46.25753425,25.77534247,72.03287671
CN02114002.2,A01N43/20,A01N43/20;C07D303/48,2002.10.16,CN1373999A,2002-03-22,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2002,5,0,2,43,1,0,0,2002-07-17,2004-12-01,NA,NA,NA,NA,NA,NA,2002-10-16,NA,NA,28.5369863,2004-12-01,NA,NA,2002-07-17,1,2004-12-01,28.5369863,3.846575342,32.38356164
CN01122136.4,A44C5/00,A44C5/00,2002.10.16,CN1374051A,2001-07-02,2001.03.12 JP 68165/01,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,1,0,1,2,2001,2,0,2,JP,0,1,0,2003-12-17,NA,NA,NA,NA,2005-05-11,NA,2013-08-28,2002-10-16,2005-05-11,NA,NA,NA,30.83835616,NA,2003-12-17,3,2005-05-11,16.8,29.52328767,46.32328767
CN02105655.2,A61B8/00,A61B8/00,2002.10.16,CN1374070A,2002-03-05,2001.03.05 JP 59740/01,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,3,1,1,1,2002,16,1,2,US,0,1,0,2002-07-10,NA,NA,NA,NA,2005-11-02,NA,2015-04-29,2002-10-16,2005-11-02,NA,NA,NA,36.59178082,NA,2002-07-10,3,2005-11-02,39.81369863,4.175342466,43.9890411
CN00805398.7,A61L2/08,A61L2/08,2002.04.10,CN1344170A,2000-02-11,"1999.02.13 US 60/120,034;1999.06.09 US 09/329,018",PCT/US00/03546 2000.02.11,WO00/47240 英 2000.08.17,2001.09.21,0,0,1,1,1,1,0,1,0,0,6,1,1,1,2000,20,1,2,US,0,1,0,2002-05-15,NA,NA,NA,NA,NA,2008-11-05,NA,2002-04-10,2008-09-05,NA,NA,NA,76.93150685,NA,2002-05-15,3,2008-09-05,75.78082192,27.09041096,102.8712329
CN00125289.5,A01K63/04,A01K63/04,2002.04.10,CN1343445A,2000-09-20,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,0,4,1,1,1,2000,3,0,2,31,1,0,0,2001-07-18,NA,NA,NA,NA,2004-01-07,NA,2012-11-21,2002-04-10,2004-01-07,NA,NA,NA,20.94246575,NA,2001-07-18,3,2004-01-07,29.68767123,9.895890411,39.58356164
CN01134165.3,A61L15/32,A61L15/32,2002.05.15,CN1348820A,2001-11-10,NA,NA,NA,NA,0,0,1,1,1,1,0,0,1,0,8,1,0,0,2001,3,0,2,32,1,0,0,2002-03-13,NA,NA,NA,NA,2005-02-02,NA,2009-01-07,2002-05-15,2005-02-02,NA,NA,NA,32.67945205,NA,2002-03-13,3,2005-02-02,34.75068493,4.043835616,38.79452055
CN01134445.8,A61K35/78,A61K35/78;A61P15/08,2002.05.15,CN1348810A,2001-11-02,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2001,4,0,2,14,1,0,0,2005-02-16,NA,NA,NA,NA,2006-07-05,NA,2009-12-30,2002-05-15,2006-07-05,NA,NA,NA,49.70958904,NA,2005-02-16,3,2006-07-05,16.56986301,39.51780822,56.08767123
CN01126428.4,A61K35/78,A61K35/78;A61P37/02;A61P29/00;A61P19/04,2002.05.15,CN1348787A,2001-08-09,NA,NA,NA,NA,0,0.375,4,0,2,1,0,0,0,1,1,0,1,1,2001,2,0,2,31,1,0,0,2002-03-20,NA,NA,NA,NA,2004-02-11,NA,2011-10-12,2002-05-15,2004-02-11,NA,NA,NA,20.94246575,NA,2002-03-20,3,2004-02-11,22.78356164,7.331506849,30.11506849
CN01132485.6,A61K35/78,A61K35/78;A61P17/02,2002.05.15,CN1348807A,2001-11-01,NA,NA,NA,NA,0,0.5,2,0,2,3,1,0,0,1,3,1,0,0,2001,9,0,2,41,1,0,0,2002-05-01,2004-07-28,NA,NA,NA,NA,NA,NA,2002-05-15,NA,NA,26.9260274,2004-07-28,NA,NA,2002-05-01,1,2004-07-28,26.9260274,5.950684932,32.87671233
CN01114887.X,A61K35/78,A61K35/78;A61P25/26,2002.04.10,CN1343509A,2001-07-05,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2001,1,0,2,44,1,0,0,2002-02-13,NA,NA,NA,NA,2005-02-09,NA,2008-09-03,2002-04-10,2005-02-09,NA,NA,NA,34.06027397,NA,2002-02-13,3,2005-02-09,35.90136986,7.331506849,43.23287671
CN99816481.X,A61K38/21,A61K38/21;A61P11/02,2002.04.10,CN1344165A,1999-09-06,1999.03.16 RU 99100666,PCT/RU99/00320 1999.09.06,WO00/54798 俄 2000.09.21,2001.09.14,0,0.5,2,0,2,3,1,0,0,1,3,1,1,1,1999,4,0,1,RU,0,1,0,2002-04-03,NA,NA,NA,NA,2004-09-15,NA,NA,2002-04-10,2004-09-15,NA,NA,NA,29.22739726,NA,2002-04-03,3,2004-09-15,29.45753425,30.90410959,60.36164384
CN00123000.X,A61K35/78,A61K35/78;A61P9/06,2002.04.10,CN1343501A,2000-09-15,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2000,1,0,2,21,1,0,0,2001-03-07,NA,2003-12-10,NA,NA,NA,NA,NA,2002-04-10,NA,2003-12-10,NA,NA,NA,20.02191781,2001-03-07,2,2003-12-10,33.13972603,5.687671233,38.82739726
CN01125316.9,A61J3/06,A61J3/06;A61J3/00,2002.04.10,CN1343486A,2001-08-10,NA,NA,NA,NA,0,0,2,0,1,1,0,0,1,0,2,1,1,2,2001,2,0,2,62,1,0,0,2002-02-13,NA,NA,NA,NA,2004-08-18,NA,2007-10-10,2002-04-10,2004-08-18,NA,NA,NA,28.30684932,NA,2002-02-13,3,2004-08-18,30.14794521,6.147945205,36.29589041
CN01128250.9,A23K1/18,A23K1/18;A23K1/16,2002.04.10,CN1343454A,2001-09-30,NA,NA,NA,NA,0,0,2,0,1,1,0,0,0,1,1,0,1,1,2001,1,0,2,21,1,0,0,2002-02-13,NA,NA,NA,NA,2004-04-28,NA,2011-11-30,2002-04-10,2004-04-28,NA,NA,NA,24.62465753,NA,2002-02-13,3,2004-04-28,26.46575342,4.471232877,30.9369863
CN01126775.5,A41D13/00,A41D13/00;A61F7/00;H05B3/00,2002.04.10,CN1343466A,2001-09-17,NA,NA,NA,NA,0,0.666666667,3,0,3,1,0,0,0,1,1,0,0,0,2001,8,0,2,33,1,0,0,2002-02-13,NA,2004-10-06,NA,NA,NA,NA,NA,2002-04-10,NA,2004-10-06,NA,NA,NA,29.91780822,2002-02-13,2,2004-10-06,31.75890411,4.898630137,36.65753425
CN00135727.1,A61K35/78,A61K35/78;A61K7/48,2002.07.24,CN1359700A,2000-12-19,NA,NA,NA,NA,0,0,2,0,1,1,0,0,0,1,1,0,1,1,2000,1,0,2,12,1,0,0,2001-05-30,NA,NA,NA,NA,2004-04-28,NA,2007-02-14,2002-07-24,2004-04-28,NA,NA,NA,21.17260274,NA,2001-05-30,3,2004-04-28,34.98082192,5.326027397,40.30684932
CN00807207.8,A62C2/08,A62C2/08;A62C35/68,2002.05.15,CN1349425A,2000-04-25,1999.05.05 UZ INDR9900324.1,PCT/UZ00/00001 2000.04.25,WO00/66227 俄 2000.11.09,2001.11.05,0,0,2,0,1,1,0,0,0,1,10,1,1,1,2000,22,1,1,UZ,0,1,0,2002-06-26,NA,NA,NA,NA,2004-03-31,NA,NA,2002-05-15,2004-03-31,NA,NA,NA,22.55342466,NA,2002-06-26,3,2004-03-31,21.17260274,26.03835616,47.2109589
CN01141447.2,A61H39/04,A61H39/04;A61N2/08;A61M37/00;A61K35/78;A61K9/06,2002.05.15,CN1348753A,2001-09-25,NA,NA,NA,NA,0,0.72,5,0,4,1,0,0,0,0,1,0,0,0,2001,7,0,2,21,1,0,0,2002-03-13,NA,NA,NA,NA,NA,2005-02-02,NA,2002-05-15,2004-12-02,NA,NA,NA,30.64109589,NA,2002-03-13,3,2004-12-02,32.71232877,5.556164384,38.26849315
CN01138345.3,A61K35/78,A61K35/78;A61P31/12,2002.07.24,CN1359713A,2001-12-21,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2001,1,0,2,36,1,0,0,2002-07-03,NA,NA,NA,NA,2004-09-29,NA,2008-02-20,2002-07-24,2004-09-29,NA,NA,NA,26.23561644,NA,2002-07-03,3,2004-09-29,26.9260274,6.378082192,33.30410959
CN01116776.9,A63B23/04,A63B23/04,2002.04.10,CN1343527A,2001-04-30,2000.09.12 JP 276440/2000,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,1,0,1,1,2001,8,0,1,JP,0,1,0,2001-09-12,NA,NA,NA,NA,2005-02-09,NA,NA,2002-04-10,2005-02-09,NA,NA,NA,34.06027397,NA,2001-09-12,3,2005-02-09,40.96438356,4.438356164,45.40273973
CN01141374.3,A47C21/04,A47C21/04,2002.05.15,CN1348736A,2001-10-25,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,1,0,0,0,2001,7,0,2,15,1,0,0,2002-05-08,2004-07-14,NA,NA,NA,NA,NA,NA,2002-05-15,NA,NA,26.23561644,2004-07-14,NA,NA,2002-05-08,1,2004-07-14,26.23561644,6.410958904,32.64657534
CN00123064.6,A23L3/3562,A23L3/3562,2002.05.15,CN1348722A,2000-10-12,NA,NA,NA,NA,0,0,1,1,1,1,0,0,1,0,6,1,1,1,2000,3,0,2,21,1,0,0,2001-05-30,2004-08-11,NA,NA,NA,NA,NA,NA,2002-05-15,NA,NA,38.43287671,2004-08-11,NA,NA,2001-05-30,1,2004-08-11,38.43287671,7.561643836,45.99452055
CN00137739.6,A61K35/78,A61K35/78;A61P15/04,2002.07.24,CN1359708A,2000-12-19,NA,NA,NA,NA,0,0.5,2,0,2,2,1,0,0,1,2,1,1,1,2000,7,0,2,35,1,0,0,2004-02-11,NA,NA,NA,NA,2005-05-18,NA,2012-02-29,2002-07-24,2005-05-18,NA,NA,NA,33.83013699,NA,2004-02-11,3,2005-05-18,15.1890411,37.77534247,52.96438356
CN00130129.2,A23L1/217,A23L1/217;A23L1/33,2002.05.15,CN1348712A,2000-10-16,NA,NA,NA,NA,0,0,2,0,1,1,0,0,1,0,8,1,1,1,2000,4,0,2,11,1,0,0,2001-05-09,NA,NA,NA,NA,2004-02-11,NA,2008-12-17,2002-05-15,2004-02-11,NA,NA,NA,20.94246575,NA,2001-05-09,3,2004-02-11,33.13972603,6.739726027,39.87945205
CN00806820.8,A46D1/05,A46D1/05;A46D9/02,2002.05.15,CN1349390A,2000-04-12,1999.04.27 DE 19918959.5,PCT/EP00/03250 2000.04.12,WO00/64308 德 2000.11.02,2001.10.26,0,0,2,0,1,1,0,1,0,0,1,0,1,1,2000,21,1,2,DE,0,1,0,2002-05-29,NA,NA,NA,NA,NA,2004-11-17,NA,2002-05-15,2004-09-17,NA,NA,NA,28.14246575,NA,2002-05-29,3,2004-09-17,27.68219178,25.54520548,53.22739726
CN00806911.5,A01G1/00,A01G1/00,2002.05.15,CN1349379A,2000-04-25,1999.04.30 JP 124769/99,PCT/JP00/02709 2000.04.25,WO00/65898 日 2000.11.09,2001.10.29,0,0,1,1,1,1,0,1,0,0,3,1,1,2,2000,7,0,2,JP,0,1,0,2002-05-01,NA,NA,NA,NA,2004-12-01,NA,2008-06-25,2002-05-15,2004-12-01,NA,NA,NA,30.60821918,NA,2002-05-01,3,2004-12-01,31.06849315,24.19726027,55.26575342
CN00135779.4,A61K38/14,A61K38/14;A61P7/02,2002.07.24,CN1359729A,2000-12-20,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,1,0,1,0,1,1,2000,12,1,2,11,1,0,0,2001-08-22,NA,NA,NA,NA,2004-11-24,NA,2009-02-18,2002-07-24,2004-11-24,NA,NA,NA,28.07671233,NA,2001-08-22,3,2004-11-24,39.12328767,8.054794521,47.17808219
CN01143717.0,A01K89/012,A01K89/012,2002.07.24,CN1359617A,2001-12-18,2000.12.18 JP 384197/00;2001.02.13 JP 35731/01,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,2,1,1,2,2001,13,1,2,JP,0,1,0,2004-02-11,NA,NA,NA,NA,2006-07-05,NA,2012-02-29,2002-07-24,2006-07-05,NA,NA,NA,47.40821918,NA,2004-02-11,3,2006-07-05,28.76712329,25.80821918,54.57534247
CN00805093.7,A61K39/00,A61K39/00;A61K48/00;A61P31/00;A61P33/00;A61P35/00;A61K39/385;//C07K14/26 C12N15/62,2002.04.10,CN1344166A,2000-02-17,1999.02.17 FR 99/01917,PCT/FR00/00393 2000.02.17,WO00/48628 法 2000.08.24,2001.09.17,0,0.5,6,0,2,1,0,1,0,0,2,1,1,1,2000,43,1,2,FR,0,1,0,2002-04-03,NA,NA,NA,NA,2005-03-02,NA,2009-04-22,2002-04-10,2005-03-02,NA,NA,NA,34.75068493,NA,2002-04-03,3,2005-03-02,34.98082192,25.51232877,60.49315068
CN00806825.9,A44C5/10,A44C5/10,2002.05.15,CN1349388A,2000-03-16,1999.04.29 CH 786/99,PCT/CH00/00150 2000.03.16,WO00/65948 法 2000.11.09,2001.10.26,0,0,1,1,1,1,0,1,0,0,2,1,1,2,2000,19,1,1,CH,0,1,0,2002-06-19,NA,NA,NA,NA,2006-09-20,NA,NA,2002-05-15,2006-09-20,NA,NA,NA,52.24109589,NA,2002-06-19,3,2006-09-20,51.09041096,27.12328767,78.21369863
CN01101604.3,A47G33/00,A47G33/00;F23Q1/02,2002.05.15,CN1348737A,2001-01-15,2000.10.16 JP 7384/2000,NA,NA,NA,0,0.5,2,0,2,4,1,0,0,0,4,1,1,1,2001,5,0,2,JP,0,1,0,2003-12-31,NA,NA,NA,NA,NA,2005-06-08,NA,2002-05-15,2005-04-08,NA,NA,NA,34.81643836,NA,2003-12-31,3,2005-04-08,15.25479452,35.50684932,50.76164384
CN00805291.3,A61K9/70,A61K9/70,2002.04.10,CN1344156A,2000-02-23,"1999.02.23 US 60/121,424",PCT/CA00/00175 2000.02.23,WO00/50016 英 2000.08.31,2001.09.20,0,0,1,1,1,1,0,1,0,0,2,1,1,1,2000,40,1,2,CA,0,1,0,2002-04-03,2008-09-17,NA,NA,NA,NA,NA,NA,2002-04-10,NA,NA,77.55616438,2008-09-17,NA,NA,2002-04-03,1,2008-09-17,77.55616438,25.31506849,102.8712329
CN01137950.2,A61F13/15,A61F13/15,2002.04.10,CN1343484A,2001-08-28,2000.08.28 JP 257639/2000,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,3,1,1,1,2001,10,0,2,JP,0,1,0,2003-09-10,NA,NA,NA,NA,2005-10-12,NA,2014-10-22,2002-04-10,2005-10-12,NA,NA,NA,42.11506849,NA,2003-09-10,3,2005-10-12,25.08493151,24.42739726,49.51232877
CN01139320.3,A61F13/15,A61F13/15;D04H13/00,2002.05.15,CN1348750A,2001-09-18,2000.09.19 JP 283223/2000,NA,NA,NA,0,0.5,2,0,2,1,0,1,0,0,1,0,1,1,2001,5,0,2,JP,0,1,0,2003-09-17,NA,NA,NA,NA,2004-10-27,NA,2014-11-05,2002-05-15,2004-10-27,NA,NA,NA,29.45753425,NA,2003-09-17,3,2004-10-27,13.34794521,23.96712329,37.31506849
CN00805109.7,A61F6/18,A61F6/18,2002.04.10,CN1344141A,2000-04-13,1999.04.16 BE 9900266,PCT/BE00/00035 2000.04.13,WO00/62725 法 2000.10.26,2001.09.17,0,0,1,1,1,1,0,0,0,1,1,0,1,1,2000,14,1,2,BE,0,1,0,2002-05-15,NA,NA,NA,NA,2005-01-19,NA,2010-08-04,2002-04-10,2005-01-19,NA,NA,NA,33.36986301,NA,2002-05-15,3,2005-01-19,32.21917808,25.05205479,57.27123288
CN00809967.7,A61M1/10,A61M1/10,2002.07.24,CN1360510A,2000-05-03,"1999.05.04 US 60/132,431",PCT/GB00/01526 2000.05.03,WO00/66196 英 2000.11.09,2002.01.04,0,0,1,1,1,1,0,0,0,1,1,0,1,2,2000,19,1,2,GB,0,1,0,2002-07-03,NA,NA,NA,NA,2004-09-08,NA,2010-07-28,2002-07-24,2004-09-08,NA,NA,NA,25.54520548,NA,2002-07-03,3,2004-09-08,26.23561644,26.00547945,52.24109589
CN00810171.X,A61B5/00,A61B5/00;G01J5/04;G01J5/10,2002.07.24,CN1360481A,2000-06-09,1999.06.11 JP 165915/99,PCT/JP00/03781 2000.06.09,WO00/76392 日 2000.12.21,2002.01.10,0,0.444444444,3,0,2,1,0,1,0,0,3,1,1,1,2000,24,1,1,JP,0,1,0,2002-07-03,NA,NA,NA,NA,2005-09-21,NA,NA,2002-07-24,2005-09-21,NA,NA,NA,37.97260274,NA,2002-07-03,3,2005-09-21,38.6630137,24.7890411,63.45205479
CN01118586.4,A61K35/78,A61K35/78;A61P3/02,2002.05.15,CN1348785A,2001-06-06,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,0,0,2001,1,0,2,11,1,0,0,2002-05-29,NA,NA,NA,NA,2005-03-30,NA,2009-08-12,2002-05-15,2005-03-30,NA,NA,NA,34.52054795,NA,2002-05-29,3,2005-03-30,34.06027397,11.7369863,45.79726027
CN01114889.6,A61F2/01,A61F2/01,2002.01.23,CN1331956A,2001-07-06,NA,NA,NA,NA,0,0,1,1,1,2,1,0,0,1,2,1,0,0,2001,15,1,1,44,1,0,0,2003-01-22,NA,NA,NA,NA,2008-08-13,NA,NA,2002-01-23,2008-08-13,NA,NA,NA,78.70684932,NA,2003-01-22,3,2008-08-13,66.73972603,18.57534247,85.31506849
CN00120743.1,A61K39/29,A61K39/29;A61P1/16,2002.02.06,CN1334123A,2000-07-13,NA,NA,NA,NA,0,0.5,2,0,2,1,0,1,0,0,15,1,0,0,2000,7,0,2,22,1,0,0,2003-08-06,2005-01-26,NA,NA,NA,NA,NA,NA,2002-02-06,NA,NA,17.72054795,2005-01-26,NA,NA,2003-08-06,1,2005-01-26,17.72054795,36.7890411,54.50958904
CN00136013.2,A61K33/06,"A61K33/06;A61P27/00;//(A61K33/06,31:045)",2002.01.23,CN1331974A,2000-12-25,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,3,1,1,1,2000,6,0,2,22,1,0,0,2001-12-05,NA,NA,NA,NA,2003-11-19,NA,2008-02-20,2002-01-23,2003-11-19,NA,NA,NA,21.8630137,NA,2001-12-05,3,2003-11-19,23.4739726,11.34246575,34.81643836
CN01108299.2,A61K31/535,"A61K31/535;A61P31/00;A61P3/02;//(A61K31/535,31:255,31:28,31:375,31:496)",2002.01.23,CN1331972A,2001-02-27,NA,NA,NA,NA,0,0.444444444,3,0,2,1,0,0,0,1,1,0,1,1,2001,1,0,2,32,1,0,0,2004-05-12,2005-10-05,NA,NA,NA,NA,NA,NA,2002-01-23,NA,NA,16.8,2005-10-05,NA,NA,2004-05-12,1,2005-10-05,16.8,38.46575342,55.26575342
CN00124271.7,A61K7/02,A61K7/02;A61K7/04;A61K7/06;A61K7/40;A61K7/48;A61K7/50,2002.01.23,CN1331966A,2000-07-12,NA,NA,NA,NA,0,0,6,0,1,1,0,1,0,0,1,0,1,1,2000,33,1,2,FR,0,0,0,2001-01-24,NA,NA,NA,NA,2006-01-18,NA,2008-09-10,2002-01-23,2006-01-18,NA,NA,NA,47.86849315,NA,2001-01-24,3,2006-01-18,59.83561644,6.443835616,66.27945205
CN00109771.7,A61K35/32,A61K35/32;A61K38/02;A61P17/02,2002.01.23,CN1331976A,2000-07-06,NA,NA,NA,NA,0,0.444444444,3,0,2,1,0,0,1,0,7,1,1,1,2000,6,0,2,22,1,0,0,2000-12-20,NA,NA,NA,NA,NA,2004-09-29,NA,2002-01-23,2004-07-29,NA,NA,NA,30.18082192,NA,2000-12-20,3,2004-07-29,43.29863014,5.490410959,48.7890411
CN01124031.8,A61F6/08,A61F6/08;A61F6/10,2002.02.06,CN1334070A,2001-08-08,NA,NA,NA,NA,0,0,2,0,1,1,0,0,0,1,2,1,1,1,2001,12,1,2,11,1,0,0,2001-12-19,NA,NA,NA,NA,2004-07-07,NA,2006-10-04,2002-02-06,2004-07-07,NA,NA,NA,28.99726027,NA,2001-12-19,3,2004-07-07,30.60821918,4.37260274,34.98082192
CN00121034.3,A61K35/78,A61K35/78;A61P25/02,2002.02.06,CN1334099A,2000-07-17,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,4,1,1,1,2000,1,0,2,13,1,0,0,2001-08-15,NA,NA,NA,NA,2003-10-22,NA,2009-09-16,2002-02-06,2003-10-22,NA,NA,NA,20.48219178,NA,2001-08-15,3,2003-10-22,26.23561644,12.95342466,39.1890411
CN01123489.X,A23L1/337,A23L1/337;A23L1/304,2002.01.23,CN1331929A,2001-07-27,NA,NA,NA,NA,0,0,2,0,1,1,0,0,0,1,5,1,1,1,2001,6,0,2,21,1,0,0,2003-08-13,NA,NA,NA,NA,2004-12-15,NA,2011-09-28,2002-01-23,2004-12-15,NA,NA,NA,34.75068493,NA,2003-08-13,3,2004-12-15,16.10958904,24.55890411,40.66849315
CN01131203.3,A61K35/78,A61K35/78;A61P9/10,2002.02.06,CN1334121A,2001-08-31,NA,NA,NA,NA,0,0.5,2,0,2,1,0,1,0,0,1,0,1,1,2001,5,0,1,13,1,0,0,2001-12-19,NA,NA,NA,NA,2003-10-15,NA,NA,2002-02-06,2003-10-15,NA,NA,NA,20.25205479,NA,2001-12-19,3,2003-10-15,21.8630137,3.616438356,25.47945205
CN00119381.3,A62C35/02,A62C35/02,2002.02.06,CN1334130A,2000-07-14,NA,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,6,1,1,2,2000,1,0,2,33,1,0,0,2000-11-22,NA,NA,NA,NA,2004-08-25,NA,2010-09-22,2002-02-06,2004-08-25,NA,NA,NA,30.60821918,NA,2000-11-22,3,2004-08-25,45.10684932,4.306849315,49.41369863
CN01108660.2,A61K35/78,A61K35/78;A23K1/16,2002.02.06,CN1334106A,2001-07-20,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,2,1,1,1,2001,1,0,2,52,1,0,0,2002-08-14,NA,NA,NA,NA,2004-03-10,NA,2011-03-30,2002-02-06,2004-03-10,NA,NA,NA,25.08493151,NA,2002-08-14,3,2004-03-10,18.87123288,12.82191781,31.69315068
CN01111160.7,A23L1/221,A23L1/221;A23L1/312,2002.02.06,CN1334029A,2001-04-08,NA,NA,NA,NA,0,0,2,0,1,1,0,1,0,0,4,1,1,1,2001,1,0,2,15,1,0,0,2002-11-20,NA,2005-02-09,NA,NA,NA,NA,NA,2002-02-06,NA,2005-02-09,NA,NA,NA,36.13150685,2002-11-20,2,2005-02-09,26.69589041,19.43013699,46.1260274
CN01125359.2,A01N59/14,A01N59/14,2002.02.06,CN1334008A,2001-08-19,NA,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,2,1,0,0,2001,3,0,2,45,1,0,0,2001-12-26,2004-12-01,NA,NA,NA,NA,NA,NA,2002-02-06,NA,NA,35.2109589,2004-12-01,NA,NA,2001-12-26,1,2004-12-01,35.2109589,4.24109589,39.45205479
CN00107820.8,A61K39/29,"A61K39/29;A61K9/19;A61P1/16;A61P31/12;//(A61K39/29,39:165)",2002.01.23,CN1332015A,2000-06-23,NA,NA,NA,NA,0,0.5,4,0,2,1,0,1,0,0,13,1,0,0,2000,3,0,2,22,1,0,0,2003-10-08,NA,2006-10-04,NA,NA,NA,NA,NA,2002-01-23,NA,2006-10-04,NA,NA,NA,56.38356164,2003-10-08,2,2006-10-04,35.90136986,39.51780822,75.41917808
CN01123432.6,A61K35/78,A61K35/78;A61P17/00,2002.01.23,CN1332012A,2001-07-24,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2001,4,0,2,14,1,0,0,2003-01-08,NA,NA,NA,NA,2003-12-17,NA,2005-09-21,2002-01-23,2003-12-17,NA,NA,NA,22.78356164,NA,2003-01-08,3,2003-12-17,11.27671233,17.52328767,28.8
