app_num,main_IPC,IPC,pub_date,pub_num,app_date,priority,Int_filing,Int_pub,entry_date,initial_app_num,tech_div,IPCcount,SingleIPC,IPCcount_unique,total_applicant,collaboration_applicant,type1_company,type2_university,type3_individual,total_inventers,collaboration_inventer,if_agency,total_agents,app_year,total_claims,paid_claims,patent_status_n,nation_province_code_2,Chinese,priority_d,divisional_app,substantive_review,app_withdraw,reject,recover,decision_made,grant,waive,terminate,pub_date_c,grant_c,reject_c,subrev_withdraw_dur,app_withdraw_c,pub_grant_dur,pub_reject_dur,substantive_review_c,event,event_date,start_end_dur,age_at_subreview,age_at_event
CN01110451.1,A47B96/20,A47B96/20,2002.07.10,CN1357291A,2001-04-10,2000.12.11 JP 375370/2000,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,1,0,1,2,2001,2,0,2,JP,0,1,0,2001-08-15,2004-07-28,NA,NA,NA,NA,NA,NA,2002-07-10,NA,NA,35.44109589,2004-07-28,NA,NA,2001-08-15,1,2004-07-28,35.44109589,4.175342466,39.61643836
CN00134022.0,A01N43/36,A01N43/36,2002.07.10,CN1357232A,2000-12-07,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,2,1,0,0,2000,1,0,1,13,1,0,0,2002-07-24,NA,NA,NA,NA,2004-02-04,NA,NA,2002-07-10,2004-02-04,NA,NA,NA,18.87123288,NA,2002-07-24,3,2004-02-04,18.4109589,19.52876712,37.93972603
CN01138958.3,A01N59/16,A01N59/16,2002.07.10,CN1357236A,2001-12-27,NA,NA,NA,NA,0,0,1,1,1,1,0,0,1,0,3,1,1,1,2001,1,0,2,23,1,0,0,2002-07-03,2004-12-29,NA,NA,NA,NA,NA,NA,2002-07-10,NA,NA,29.91780822,2004-12-29,NA,NA,2002-07-03,1,2004-12-29,29.91780822,6.180821918,36.09863014
CN00129393.1,A61K31/353,A61K31/353;A61K35/78;A61P39/06;A61P39/00;A61P35/00;A61P43/00,2002.07.10,CN1357325A,2000-12-08,NA,NA,NA,NA,0,0.444444444,6,0,2,2,1,1,1,0,1,0,1,1,2000,6,0,2,37,1,0,0,2002-01-16,NA,2005-04-20,NA,NA,NA,NA,NA,2002-07-10,NA,2005-04-20,NA,NA,NA,33.36986301,2002-01-16,2,2005-04-20,39.12328767,13.28219178,52.40547945
CN00134980.5,A01N31/08,A01N31/08,2002.07.10,CN1357229A,2000-12-13,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,2,1,0,0,2000,4,0,2,21,1,0,0,2001-10-03,2005-02-23,NA,NA,NA,NA,NA,NA,2002-07-10,NA,NA,40.73424658,2005-02-23,NA,NA,2001-10-03,1,2005-02-23,40.73424658,9.665753425,50.4
CN00134792.6,A61K39/395,A61K39/395;C12N1/21,2002.07.10,CN1357385A,2000-12-03,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,0,0,2000,2,0,2,33,1,0,0,2002-10-16,NA,2004-06-02,NA,NA,NA,NA,NA,2002-07-10,NA,2004-06-02,NA,NA,NA,22.78356164,2002-10-16,2,2004-06-02,19.56164384,22.42191781,41.98356164
CN00134147.2,A61L31/04,A61L31/04;A61L27/00;A61B17/56;B29D31/00,2002.07.10,CN1357390A,2000-12-07,NA,NA,NA,NA,0,0.625,4,0,3,1,0,0,1,0,8,1,1,1,2000,1,0,2,12,1,0,0,2002-08-07,2005-01-26,NA,NA,NA,NA,NA,NA,2002-07-10,NA,NA,29.68767123,2005-01-26,NA,NA,2002-08-07,1,2005-01-26,29.68767123,19.9890411,49.67671233
CN02100075.1,A61M37/00,A61M37/00;A61K35/78;A61F7/00,2002.07.10,CN1357393A,2002-01-16,NA,NA,NA,NA,0,0.666666667,3,0,3,1,0,0,0,1,1,0,0,0,2002,8,0,2,11,1,0,0,2002-04-24,NA,2004-06-02,NA,NA,NA,NA,NA,2002-07-10,NA,2004-06-02,NA,NA,NA,22.78356164,2002-04-24,2,2004-06-02,25.31506849,3.221917808,28.5369863
CN00134685.7,A61M5/00,A61M5/00;A61M5/14,2002.07.10,CN1357391A,2000-12-06,NA,NA,NA,NA,0,0,2,0,1,1,0,0,0,1,1,0,0,0,2000,6,0,2,22,1,0,0,2002-10-09,2004-07-14,NA,NA,NA,NA,NA,NA,2002-07-10,NA,NA,21.17260274,2004-07-14,NA,NA,2002-10-09,1,2004-07-14,21.17260274,22.09315068,43.26575342
CN01136924.8,A23L1/314,A23L1/314,2002.07.10,CN1357260A,2001-12-25,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,1,0,1,1,2001,5,0,2,12,1,0,0,2002-06-26,2005-05-04,NA,NA,NA,NA,NA,NA,2002-07-10,NA,NA,34.29041096,2005-05-04,NA,NA,2002-06-26,1,2005-05-04,34.29041096,6.016438356,40.30684932
CN01136959.0,A61K31/191,A61K31/191;A61P19/10,2002.07.10,CN1357323A,2001-12-26,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,1,0,4,1,1,1,2001,10,0,2,11,1,0,0,2002-06-26,NA,NA,NA,NA,2004-03-17,NA,2011-03-16,2002-07-10,2004-03-17,NA,NA,NA,20.25205479,NA,2002-06-26,3,2004-03-17,20.71232877,5.983561644,26.69589041
CN01122951.9,A43B13/14,A43B13/14;A43B7/00,2002.07.10,CN1357281A,2001-07-17,NA,NA,NA,NA,0,0,2,0,1,1,0,0,0,1,1,0,0,0,2001,3,0,2,41,1,0,0,2002-06-12,2004-07-14,NA,NA,NA,NA,NA,NA,2002-07-10,NA,NA,25.08493151,2004-07-14,NA,NA,2002-06-12,1,2004-07-14,25.08493151,10.84931507,35.93424658
CN01122648.X,A61M5/00,A61M5/00,2002.01.16,CN1330960A,2001-06-29,"2000.06.29 US 09/606,743",NA,NA,NA,0,0,1,1,1,1,0,1,0,0,2,1,1,1,2001,21,1,1,US,0,1,0,2003-09-10,NA,NA,NA,NA,2005-06-29,NA,NA,2002-01-16,2005-06-29,NA,NA,NA,41.42465753,NA,2003-09-10,3,2005-06-29,21.63287671,26.4,48.03287671
CN01121861.4,A41B9/00,A41B9/00;A41B9/12;A41B13/04;A61F5/44;A61F13/15;A61F13/496,2002.01.09,CN1329857A,2001-06-29,2000.06.30 JP 199025/2000,NA,NA,NA,0,0.5,6,0,2,1,0,1,0,0,2,1,1,1,2001,3,0,2,JP,0,1,0,2003-07-09,NA,NA,NA,NA,2005-10-12,NA,2015-08-26,2002-01-09,2005-10-12,NA,NA,NA,45.10684932,NA,2003-07-09,3,2005-10-12,27.15616438,24.32876712,51.48493151
